"kigo","yomigana","kyukana","bodai"
"小豆粥","あづきがゆ","","[""十五日粥"",""望の粥""]"
"伊勢海老","いせえび","","[""鎌倉海老""]"
"五日","いつか","","[""""]"
"寝積む","いねつむ","","[""稲積む"",""寝挙る""]"
"鷽替","うそかえ","うそかへ","[""鬼燻"",""鬼すべ""]"
"謡初","うたいぞめ","うたひぞめ","[""初謡""]"
"歌会始","うたかいはじめ","","[""歌御会始""]"
"馬騎初","うまのりぞめ","","[""騎馬始"",""馬場始"",""初騎""]"
"恵方詣","えほうまいり","ゑはうまゐり","[""恵方"",""吉方"",""明きの方"",""恵方道""]"
"会陽","えよう","ゑやう","[""西大寺参"",""神木"",""裸押し"",""修正会""]"
"えんぶり","えんぶり","","[""えぶり"",""ながえんぶり"",""御前えんぶり""]"
"大服","おおぶく","おほぶく","[""大福"",""福茶"",""大福茶""]"
"御行","おぎょう","おぎやう","[""御形"",""五形""]"
"白朮詣","おけらまいり","をけらまゐり","[""白朮祭"",""白朮火"",""白朮縄"",""火縄売"",""祇園削掛の神事""]"
"御降り","おさがり","","[""富正月""]"
"鬼打木","おにうちぎ","","[""鬼木""]"
"女正月","おんなしょがつ","をんなしやうぐあつ","[""女正月""]"
"買初","かいぞめ","かひぞめ","[""初買""]"
"傀儡師","かいらいし","くわいらいし","[""傀儡"",""夷廻し"",""木傀廻し""]"
"鏡開","かがみびらき","","[""鏡割""]"
"鏡餅","かがみもち","","[""御鏡"",""飾餅"",""具足餅"",""鎧餅""]"
"書初","かきぞめ","","[""筆始"",""試筆"",""吉書""]"
"飾","かざり","","[""お飾"",""輪飾""]"
"飾臼","かざりうす","","[""臼飾る""]"
"飾海老","かざりえび","","[""海老飾る""]"
"飾納","かざりおさめ","かざりをさめ","[""飾取る"",""注連取る""]"
"飾米","かざりこめ","","[""米飾る""]"
"数の子","かずのこ","","[""かどのこ""]"
"門松","かどまつ","","[""松飾"",""飾松"",""竹飾"",""飾竹""]"
