"kigo","yomigana","kyukana","bodai"
"藍蒔く","あいまく","あゐまく","[""藍植う""]"
"青木の花","あおきのはな","あをきのはな","[""花青木""]"
"石蓴","あおさ","あをさ","[""川菜""]"
"青饅","あおぬた","あをぬた","[""""]"
"青麦","あおむぎ","あをむぎ","[""麦青む""]"
"通草の花","あけびのはな","","[""木通の花"",""花通草""]"
"胡葱","あさつき","","[""糸葱"",""千本分葱"",""せんぶき""]"
"朝寝","あさね","","[""""]"
"麻蒔く","あさまく","","[""""]"
"浅蜊","あさり","","[""鬼浅蜊"",""姫浅蜊"",""浅蜊舟"",""浅蜊売"",""浅蜊汁""]"
"薊","あざみ","","[""花薊""]"
"明日葉","あしたば","","[""""]"
"蘆の角","あしのつの","","[""あしかび"",""蘆の芽"",""角組む蘆"",""蘆の錐""]"
"蘆の若葉","あしのわかば","","[""若蘆""]"
"馬酔木の花","あしびのはな","","[""花馬酔木"",""あせび"",""あせみ""]"
"蘆焼く","あしやく","","[""""]"
"アスパラガス","あすぱらがす","","[""松葉独活（まつばうど）""]"
"アズマイチゲ","あずまいちげ","","[""東一華""]"
"東菊","あずまぎく","あづまぎく","[""吾妻菊""]"
"畦塗","あぜぬり","","[""畔塗"",""塗畦""]"
"暖か","あたたか","","[""ぬくし"",""春暖""]"
"アネモネ","あねもね","","[""""]"
"虻","あぶ","","[""""]"
"海女","あま","","[""磯人"",""かつぎ"",""もぐり"",""海女の笛""]"
"甘茶","あまちゃ","あまちや","[""仏の産湯"",""五香水"",""甘茶仏"",""甘茶寺"",""灌仏"",""浴仏""]"
"鮎汲","あゆくみ","","[""""]"
"杏の花","あんずのはな","","[""からももの花"",""花杏"",""杏花村""]"
"飯蛸","いいだこ","いひだこ","[""""]"
"鮊子","いかなご","","[""こうなご"",""かますご"",""いかな子舟""]"
"伊勢参","いせまいり","いせまゐり","[""伊勢参宮"",""伊勢詣"",""伊勢講"",""参宮講"",""抜参"",""御蔭参""]"
"磯遊び","いそあそび","","[""磯開き"",""磯祭""]"
"磯竈","いそかまど","","[""磯焚火""]"
"磯巾着","いそぎんちゃく","いそぎんちやく","[""いしぼたん""]"
"磯菜摘","いそなつみ","","[""""]"
"虎杖","いたどり","","[""さいたづま""]"
"苺の花","いちごのはな","","[""花苺"",""草苺の花"",""蛇苺の花""]"
"一の午","いちのうま","","[""""]"
"銀杏の花","いちょうのはな","いてふのはな","[""公孫樹の花"",""ぎんなんの花""]"
"一輪草","いちりんそう","いちりんさう","[""一花草"",""裏紅一花""]"
"凍解","いてどけ","","[""凍解く"",""凍ゆるむ""]"
"犬ふぐり","いぬふぐり","","[""いぬのふぐり""]"
"芋植う","いもうう","","[""""]"
"岩燕","いわつばめ","いはつばめ","[""""]"
"魚島","うおじま","うをじま","[""""]"
"萍生ひ初む","うきくさおいそむ","うきくさおひそむ","[""萍生ふ""]"
"鶯","うぐいす","うぐひす","[""黄鳥"",""匂鳥"",""春告鳥"",""初音"",""鶯の谷渡り"",""鶯笛""]"
"鶯菜","うぐいすな","うぐひすな","[""黄鳥菜"",""小松菜""]"
"鶯餅","うぐいすもち","うぐひすもち","[""""]"
"五加木","うこぎ","","[""むこぎ"",""五加"",""五加木垣"",""五加木飯""]"
"海髪","うご","","[""おご"",""おごのり""]"
"牛蛙","うしかえる","うしかへる","[""食用蛙""]"
"雨水","うすい","","[""""]"
"薄氷","うすらい","うすらひ","[""薄氷"",""春の氷"",""残る氷""]"
"鷽","うそ","","[""琴弾鳥"",""照鷽"",""雨鷽"",""鷽姫""]"
"独活","うど","","[""芋独活"",""山独活"",""もやし独活"",""独活掘る""]"
"海胆","うに","","[""雲丹"",""海栗""]"
"苜蓿","うまごやし","","[""クローバ"",""白詰草""]"
"厩出し","うまやだし","","[""まやだし""]"
"海明け","うみあけ","","[""""]"
"梅","うめ","","[""好文木"",""花の兄"",""春告草"",""野梅"",""白梅"",""臥竜梅"",""豊後梅"",""枝垂梅"",""盆梅"",""老梅"",""梅が香"",""梅林"",""梅園""]"
"梅見","うめみ","","[""観梅"",""梅見茶屋""]"
