"kigo","yomigana","kyukana","bodai"
"アイスコーヒー","あいすこーひー","","[""アイスティー"",""冷しコーヒー"",""冷し紅茶""]"
"愛鳥週間","あいちょうしゅうかん","あいてうしうかん","[""バードウィーク"",""バードデー"",""鳥の日""]"
"青蘆","あおあし","あをあし","[""青葦"",""蘆茂る""]"
"青嵐","あおあらし","あをあらし","[""風青し"",""夏嵐""]"
"葵","あおい","あふひ","[""花葵"",""銭葵"",""蜀葵（からあおい）"",""立葵""]"
"葵祭","あおいまつり","あふひまつり","[""賀茂祭"",""北祭"",""賀茂葵"",""懸葵""]"
"青梅","あおうめ","あをうめ","[""梅の実"",""実梅"",""小梅""]"
"青柿","あおがき","あをがき","[""柿青し""]"
"梧桐","あおぎり","あをぎり","[""梧桐（ごとう）""]"
"青胡桃","あおくるみ","","[""生胡桃""]"
"青鷺","あおさぎ","あをさぎ","[""""]"
"青山河","あおさんが","あをさんが","[""""]"
"青山椒","あおさんしょう","あをさんせう","[""""]"
"青芝","あおしば","","[""夏芝""]"
"青芒","あおすすき","あをすすき","[""芒茂る""]"
"青簾","あおすだれ","","[""簾"",""竹簾"",""葭簾"",""伊予簾"",""絵簾"",""板簾"",""古簾""]"
"青田","あおた","あをた","[""青田風"",""青田波"",""青田道""]"
"青竹","あおたけ","","[""""]"
"青畳","あおだたみ","","[""""]"
"青蔦","あおつた","あをつた","[""蔦茂る""]"
"青唐辛子","あおとうがらし","あおたうがらし","[""青唐辛"",""青蕃椒"",""葉唐辛子""]"
"青野","あおの","","[""""]"
"青葉","あおば","","[""青葉山"",""青葉風"",""青葉時雨"",""青時雨"",""青葉雨""]"
"青葉木菟","あおばずく","あをばづく","[""""]"
"青葡萄","あおぶどう","","[""""]"
"青鬼灯","あおほほづき","あをほほづき","[""青酸漿""]"
"青みどろ","あおみどろ","あをみどろ","[""青味泥（あおみどろ）""]"
"青桃","あおもも","","[""""]"
"青林檎","あおりんご","","[""""]"
"赤鱏","あかえい","あかえひ","[""えひ"",""えひ""]"
"藜","あかざ","","[""しろざ""]"
"アカシアの花","あかしあのはな","","[""ニセアカシアの花"",""針槐の花""]"
"秋近し","あきちかし","","[""秋を待つ"",""秋隣""]"
"麻","あさ","","[""大麻"",""麻の葉"",""麻刈"",""麻引"",""麻の花"",""麻畠""]"
"朝顔","あさがお","あさがほ","[""牽牛花"",""蕣（あさがお）"",""朝顔の実"",""種朝顔""]"
"朝顔市","あさがおいち","あさがほいち","[""""]"
"朝曇","あさぐもり","","[""""]"
"朝凪","あさなぎ","","[""朝凪ぐ""]"
"朝焼","あさやけ","","[""""]"
"鯵","あじ","あぢ","[""真鯵"",""室鯵"",""夕鯵"",""鯵売""]"
"紫陽花","あじさい","","[""四葩（よひら）"",""七変化（しちへんげ）""]"
"鯵刺","あじさし","あぢさし","[""鮎刺"",""鮎鷹""]"
"東踊","あずまおどり","あづまをどり","[""""]"
"汗","あせ","","[""汗ばむ"",""玉の汗"",""汗疹"",""汗水"",""汗みどろ""]"
