"kigo","yomigana","kyukana","bodai"
"アイスホッケー","あいすほっけー","","[""""]"
"青木の実","あおきのみ","あをきのみ","[""""]"
"皸","あかぎれ","","[""あかがり""]"
"網代","あじろ","","[""網代木"",""網代床"",""網代守""]"
"熱燗","あつかん","","[""燗酒""]"
"厚司","あつし","","[""""]"
"神在祭","あみありまつり","","[""神在"",""神集ひ""]"
"霰","あられ","","[""玉霰"",""夕霰"",""初霰""]"
"亜浪忌","あろうき","あらうき","[""""]"
"アロエの花","あろえのはな","","[""""]"
"行火","あんか","あんくわ","[""""]"
"鮟鱇","あんこう","あんかう","[""""]"
"鮟鱇鍋","あんこうなべ","あんかうなべ","[""""]"
"藺植う","いうう","ゐうう","[""""]"
"息白し","いきしろし","","[""白息""]"
"池普請","いけぶしん","","[""川普請""]"
"魦","いさぎ","","[""いさぎ舟"",""いさぎ漁""]"
"鼬","いたち","","[""""]"
"鼬罠","いたちわな","","[""""]"
"一月","いちがつ","いちぐわつ","[""""]"
"銀杏落葉","いちょうおちば","いてふおちば","[""""]"
"一葉忌","いちようき","いちえふき","[""""]"
"一茶忌","いっさき","","[""""]"
"一碧楼忌","いっぺきろうき","","[""""]"
"凍滝","いてたき","","[""冬滝"",""滝氷る""]"
"凍土","いてつち","","[""凍上"",""大地凍つ""]"
"亥の子","いのこ","ゐのこ","[""玄猪"",""亥の子餅""]"
"囲炉裏","いろり","","[""炉"",""炉火"",""炉明り"",""炉話""]"
"兎","うさぎ","","[""兎汁""]"
"兎狩","うさぎがり","","[""兎罠"",""兎網""]"
"潤目鰯","うるめいわし","","[""うるめ""]"
"恵比寿講","えびすこう","","[""夷講"",""蛭子市"",""夷切""]"
"襟巻","えりまき","","[""首巻"",""マフラー""]"
"狼","おおかみ","おほかみ","[""""]"
"御火焚","おおたき","おほたき","[""御火焼""]"
"大晦日","おおみそか","おほみそか","[""大年"",""大つごもり"",""大三十日""]"
"奥三河花祭","おくみかわはなまつり","","[""花祭"",""花神楽"",""榊鬼""]"
"おくんち","おくんち","","[""竜踊"",""くんち"",""おくにち""]"
"鴛鴦","おしどり","をしどり","[""をし""]"
"落葉","おちば","","[""落葉"",""落葉焚"",""落葉掻"",""落葉篭"",""落葉期""]"
"乙字忌","おつじき","","[""寒雷忌　二十日忌""]"
"おでん","おでん","","[""関東煮（かんとうだき）""]"
"御取越","おとりこし","","[""引上会""]"
"鬼柚子","おにゆず","","[""""]"
"帯解","おびとき","","[""紐解""]"
"御神渡","おみわたり","","[""御渡り""]"
"御命講","おめいこう","","[""御会式"",""日蓮忌"",""万燈"",""御命講花""]"
"温室","おんしつ","","[""フレーム"",""温床"",""ビニールハウス""]"
"開戦日","かいせんび","","[""十二月八日""]"
"鳰","かいつぶり","","[""にほ"",""にほどり""]"
"懐炉","かいろ","くわいろ","[""温石""]"
"帰り花","かえりばな","かへりばな","[""返り花"",""忘れ花"",""狂ひ花"",""狂ひ咲き""]"
"顔見世","かおみせ","かほみせ","[""顔見勢""]"
"牡蠣","かき","","[""真牡蠣"",""酢牡蠣"",""牡蠣飯""]"
"柿落葉","かきおちば","","[""""]"
"牡蛎船","かきぶね","","[""牡蛎料理"",""牡蛎鍋""]"
"牡蠣剥く","かきむく","","[""牡蠣割る"",""牡蠣割女""]"
"杜父魚","かくぶつ","","[""杜夫魚"",""霰魚"",""杜父魚"",""あられがこ""]"
"角巻","かくまき","","[""""]"
"神楽","かぐら","","[""御神楽"",""神楽歌"",""夜神楽"",""神遊び"",""庭燎""]"
"重ね着","かさねぎ","","[""厚着""]"
"風花","かざはな","","[""かぜはな"",""かざばな""]"
"風除","かざよけ","","[""風垣"",""風囲""]"
"飾売","かざりうり","","[""""]"
"火事","かじ","くわじ","[""大火"",""小火"",""類焼"",""半焼"",""近火"",""遠火事"",""火事見舞""]"
"悴む","かじかむ","","[""""]"
"春日万燈篭","かすがまんとうろう","","[""春日の万燈""]"
"粕汁","かすじる","","[""酒の粕""]"
"春日若宮おん祭","かずがわかみやおんまつり","","[""""]"
"風邪","かぜ","","[""感冒"",""流行風邪"",""流感"",""風邪声"",""鼻風邪"",""風邪心地"",""風邪薬"",""風邪の神""]"
"数え日","かぞえび","かぞへび","[""数へ日""]"
"門松立つ","かどまつたつ","","[""松飾る""]"
"蕪","かぶら","","[""蕪"",""かぶらな"",""すずな"",""赤蕪""]"
"蕪汁","かぶらじる","","[""""]"
"鎌鼬","かまいたち","","[""鎌風""]"
"竃猫","かまどねこ","","[""へつつひ猫"",""かじけ猫"",""""]"
"髪置","かみおき","","[""""]"
"神送り","かみおくり","","[""""]"
"紙子","かみこ","","[""紙衣""]"
"紙漉","かみすき","","[""紙漉場"",""紙漉女"",""楮蒸す""]"
"神の旅","かみのたび","","[""神の旅立""]"
"神の留守","かみのるす","","[""留守の宮"",""留守詣""]"
"神迎","かみむかえ","かみむかへ","[""""]"
"鴨","かも","","[""真鴨"",""子鴨"",""鴨の声"",""鴨の陣""]"
"空風","からかぜ","","[""空つ風"",""北颪"",""北下し""]"
"神等去出の神事","からさでのしんじ","","[""神羅佐手"",""からさで祭""]"
"乾鮭","からざけ","","[""干鮭""]"
"狩","かり","","[""猟解禁"",""狩猟"",""猟犬"",""猪狩"",""鹿狩"",""狩人"",""猟夫"",""狩の宿""]"
"枯蘆","かれあし","","[""枯芦"",""枯葦"",""枯蘆原""]"
"枯木","かれき","","[""裸木"",""枯枝"",""枯木立"",""枯木道"",""枯木山"",""枯木宿"",""枯木星""]"
"枯菊","かれぎく","","[""菊枯る"",""菊焚く""]"
"枯草","かれくさ","","[""草枯る""]"
"枯桑","かれくわ","かれくは","[""桑枯る""]"
"枯芝","かれしば","","[""""]"
"枯芒","かれすすき","","[""枯薄"",""冬芒"",""枯尾花""]"
"枯園","かれその","","[""枯庭"",""冬の園"",""冬の庭""]"
"枯蔓","かれづる","","[""枯かづら""]"
"枯蟷螂","かれとうろう","","[""蟷螂枯る""]"
"枯野","かれの","","[""大枯野"",""朽野"",""枯野道"",""枯野人"",""枯野宿"",""枯原""]"
"枯葉","かれは","","[""""]"
"枯萩","かれはぎ","","[""萩枯る""]"
"枯蓮","かれはす","","[""枯蓮"",""蓮枯る"",""蓮の骨""]"
